UniqueID1232,FESID2244,EnvironmentalClass,EnvironmentalSubclass,Ecological End-Product Class,Ecological End-Product Subclass,Direct Use/Non-Use Class,Direct Use/Non-Use Subclass I,Direct Use/Non-Use Subclass II,Direct User Class,Direct User Subclass I,Direct User Subclass II,FESID2244,BeneficiaryCategory,BeneficiarySubcategory,FEGSIDNumber,FEGS,Example,Importance,FEGSMeasurementincludingUnits,MeasurementType,Status,Source,Notes
987,23.83.2101.3924,Terrestrial,Created Greenspace,Combined End-products,Presence of environmental class/sub-class ,Non-use,Existence,Existence,Government ,,Administration of Environmental Quality Programs ,23.83.2101.3924,Non-Use,People Who Care (Existence),23.0901,presence of the environment, ,knowing that the environment exists,charasmatic species (presence or absence),Stock,Proposed,Susan Yee (USEPA),NA
977,21.83.2101.3924,Terrestrial,Forests,Combined End-products,Presence of environmental class/sub-class ,Non-use,Existence,Existence,Government ,,Administration of Environmental Quality Programs ,21.83.2101.3924,Non-Use,People Who Care (Existence),21.0901,presence of the environment, ,knowing that the environment exists,charasmatic species (presence or absence),Stock,Proposed,Susan Yee (USEPA),NA
992,24.83.2101.3924,Terrestrial,Grasslands,Combined End-products,Presence of environmental class/sub-class ,Non-use,Existence,Existence,Government ,,Administration of Environmental Quality Programs ,24.83.2101.3924,Non-Use,People Who Care (Existence),24.0901,presence of the environment, ,knowing that the environment exists,charasmatic species (presence or absence),Stock,Proposed,Susan Yee (USEPA),NA
972,16.83.2101.3924,Aquatic,Groundwater,Combined End-products,Presence of environmental class/sub-class ,Non-use,Existence,Existence,Government ,,Administration of Environmental Quality Programs ,16.83.2101.3924,Non-Use,People Who Care (Existence),16.0901,presence of the environment, ,knowing that the environment exists,NA,NA,NA,NA,NA
1012,28.83.2101.3924,Terrestrial,Ice and Snow,Combined End-products,Presence of environmental class/sub-class ,Non-use,Existence,Existence,Government ,,Administration of Environmental Quality Programs ,28.83.2101.3924,Non-Use,People Who Care (Existence),28.0901,presence of the environment, ,knowing that the environment exists,NA,NA,NA,NA,NA
957,13.83.2101.3924,Aquatic,Lakes and Ponds,Combined End-products,Presence of environmental class/sub-class ,Non-use,Existence,Existence,Government ,,Administration of Environmental Quality Programs ,13.83.2101.3924,Non-Use,People Who Care (Existence),13.0901,presence of the environment, ,knowing that the environment exists,naturalness of biotic assembly (Observed/Expected),Stock,Proposed,"Dave Peck (USEPA), John Stoddard (USEPA)",NA
962,14.83.2101.3924,Aquatic,Near Coastal Marine and Estuaries,Combined End-products,Presence of environmental class/sub-class ,Non-use,Existence,Existence,Government ,,Administration of Environmental Quality Programs ,14.83.2101.3924,Non-Use,People Who Care (Existence),14.0901,presence of the environment, ,knowing that the environment exists,weighted averages of things people said they cared about,Stock,Proposed,Bill Fisher (USEPA),NA
967,15.83.2101.3924,Aquatic,Open Oceans and Seas,Combined End-products,Presence of environmental class/sub-class ,Non-use,Existence,Existence,Government ,,Administration of Environmental Quality Programs ,15.83.2101.3924,Non-Use,People Who Care (Existence),15.0901,presence of the environment, ,knowing that the environment exists,NA,NA,NA,NA,NA
947,11.83.2101.3924,Aquatic,Rivers and Streams,Combined End-products,Presence of environmental class/sub-class ,Non-use,Existence,Existence,Government ,,Administration of Environmental Quality Programs ,11.83.2101.3924,Non-Use,People Who Care (Existence),11.0901,presence of the environment, ,knowing that the environment exists,NA,NA,NA,NA,NA
997,25.83.2101.3924,Terrestrial,Scrubland / Shrubland,Combined End-products,Presence of environmental class/sub-class ,Non-use,Existence,Existence,Government ,,Administration of Environmental Quality Programs ,25.83.2101.3924,Non-Use,People Who Care (Existence),25.0901,presence of the environment, ,knowing that the environment exists,charasmatic species (presence or absence),Stock,Proposed,Susan Yee (USEPA),NA
1007,27.83.2101.3924,Terrestrial,Tundra,Combined End-products,Presence of environmental class/sub-class ,Non-use,Existence,Existence,Government ,,Administration of Environmental Quality Programs ,27.83.2101.3924,Non-Use,People Who Care (Existence),27.0901,presence of the environment, ,knowing that the environment exists,NA,NA,NA,NA,NA
952,12.83.2101.3924,Aquatic,Wetlands,Combined End-products,Presence of environmental class/sub-class ,Non-use,Existence,Existence,Government ,,Administration of Environmental Quality Programs ,12.83.2101.3924,Non-Use,People Who Care (Existence),12.0901,presence of the environment, ,knowing that the environment exists,specific flora & fauna (no. of threatened and endangered species % non-native species),Stock,Proposed,Marc Russell (USEPA),departure from expected condition
1024,13.12.1210.3928,Aquatic,Lakes and Ponds,Water,Liquid water,Direct Use,In-situ Use,"Information, science, education, and research",Government ,,National Security and International Affairs ,13.12.1210.3928,"Government, Municipal, and Residential",Military / Coast Guard,13.0304,open space, ,suitable conditions for training activities,NA,NA,NA,NA,NA
1026,14.12.1210.3928,Aquatic,Near Coastal Marine and Estuaries,Water,Liquid water,Direct Use,In-situ Use,"Information, science, education, and research",Government ,,National Security and International Affairs ,14.12.1210.3928,"Government, Municipal, and Residential",Military / Coast Guard,14.0304,open space, ,suitable conditions for training activities,NA,NA,NA,NA,NA
1028,15.12.1210.3928,Aquatic,Open Oceans and Seas,Water,Liquid water,Direct Use,In-situ Use,"Information, science, education, and research",Government ,,National Security and International Affairs ,15.12.1210.3928,"Government, Municipal, and Residential",Military / Coast Guard,15.0304,open space, ,suitable conditions for training activities,NA,NA,NA,NA,NA
1020,11.12.1210.3928,Aquatic,Rivers and Streams,Water,Liquid water,Direct Use,In-situ Use,"Information, science, education, and research",Government ,,National Security and International Affairs ,11.12.1210.3928,"Government, Municipal, and Residential",Military / Coast Guard,11.0304,open space, ,suitable conditions for training activities,NA,NA,NA,NA,NA
1022,12.12.1210.3928,Aquatic,Wetlands,Water,Liquid water,Direct Use,In-situ Use,"Information, science, education, and research",Government ,,National Security and International Affairs ,12.12.1210.3928,"Government, Municipal, and Residential",Military / Coast Guard,12.0304,open space, ,suitable conditions for training activities,NA,NA,NA,NA,NA
1045,31.83.1210.3928,Atmospheric,Atmosphere,Combined End-products,Presence of environmental class/sub-class ,Direct Use,In-situ Use,"Information, science, education, and research",Government ,,National Security and International Affairs ,31.83.1210.3928,"Government, Municipal, and Residential",Military / Coast Guard,31.0304,presence of the environment, ,opportunity for training activities,NA,NA,NA,NA,NA
1044,31.61.1210.3928,Atmospheric,Atmosphere,Soil ,Soil,Direct Use,In-situ Use,"Information, science, education, and research",Government ,,National Security and International Affairs ,31.61.1210.3928,"Government, Municipal, and Residential",Military / Coast Guard,31.0304,open space, ,suitable conditions for training activities,NA,NA,NA,NA,NA
1038,26.61.1210.3928,Terrestrial,Barren / Rock and Sand,Soil ,Soil,Direct Use,In-situ Use,"Information, science, education, and research",Government ,,National Security and International Affairs ,26.61.1210.3928,"Government, Municipal, and Residential",Military / Coast Guard,26.0304,open space, ,suitable conditions for training activities,NA,NA,NA,NA,NA
1032,23.61.1210.3928,Terrestrial,Created Greenspace,Soil ,Soil,Direct Use,In-situ Use,"Information, science, education, and research",Government ,,National Security and International Affairs ,23.61.1210.3928,"Government, Municipal, and Residential",Military / Coast Guard,23.0304,open space, ,suitable conditions for training activities,NA,NA,NA,NA,NA
1030,21.61.1210.3928,Terrestrial,Forests,Soil ,Soil,Direct Use,In-situ Use,"Information, science, education, and research",Government ,,National Security and International Affairs ,21.61.1210.3928,"Government, Municipal, and Residential",Military / Coast Guard,21.0304,open space, ,suitable conditions for training activities,NA,NA,NA,NA,NA
1034,24.61.1210.3928,Terrestrial,Grasslands,Soil ,Soil,Direct Use,In-situ Use,"Information, science, education, and research",Government ,,National Security and International Affairs ,24.61.1210.3928,"Government, Municipal, and Residential",Military / Coast Guard,24.0304,open space, ,suitable conditions for training activities,NA,NA,NA,NA,NA
1042,28.61.1210.3928,Terrestrial,Ice and Snow,Soil ,Soil,Direct Use,In-situ Use,"Information, science, education, and research",Government ,,National Security and International Affairs ,28.61.1210.3928,"Government, Municipal, and Residential",Military / Coast Guard,28.0304,open space, ,suitable conditions for training activities,NA,NA,NA,NA,NA
1036,25.61.1210.3928,Terrestrial,Scrubland / Shrubland,Soil ,Soil,Direct Use,In-situ Use,"Information, science, education, and research",Government ,,National Security and International Affairs ,25.61.1210.3928,"Government, Municipal, and Residential",Military / Coast Guard,25.0304,open space, ,suitable conditions for training activities,NA,NA,NA,NA,NA
1040,27.61.1210.3928,Terrestrial,Tundra,Soil ,Soil,Direct Use,In-situ Use,"Information, science, education, and research",Government ,,National Security and International Affairs ,27.61.1210.3928,"Government, Municipal, and Residential",Military / Coast Guard,27.0304,open space, ,suitable conditions for training activities,NA,NA,NA,NA,NA
1039,26.83.1206.3928,Terrestrial,Barren / Rock and Sand,Combined End-products,Presence of environmental class/sub-class ,Direct Use,In-situ Use,Protection of human property,Government ,,National Security and International Affairs ,26.83.1206.3928,"Government, Municipal, and Residential",Military / Coast Guard,26.0304,presence of the environment, ,opportunity for placement of infrastructure,NA,NA,NA,NA,NA
1033,23.83.1206.3928,Terrestrial,Created Greenspace,Combined End-products,Presence of environmental class/sub-class ,Direct Use,In-situ Use,Protection of human property,Government ,,National Security and International Affairs ,23.83.1206.3928,"Government, Municipal, and Residential",Military / Coast Guard,23.0304,presence of the environment, ,opportunity for placement of infrastructure,NA,NA,NA,NA,NA
1031,21.83.1206.3928,Terrestrial,Forests,Combined End-products,Presence of environmental class/sub-class ,Direct Use,In-situ Use,Protection of human property,Government ,,National Security and International Affairs ,21.83.1206.3928,"Government, Municipal, and Residential",Military / Coast Guard,21.0304,presence of the environment, ,opportunity for placement of infrastructure,NA,NA,NA,NA,NA
